x_adj,y_adj,z(m),,x(m),y(m),z(m),,easting,northing,,,,
-0.076086,51.936318,-1.363,,3.094,-4.04,-1.363,,489381.59,6203460.004,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.101086,51.971318,-0.981,,3.069,-4.005,-0.981,,489381.625,6203459.979,,,,
-0.080086,51.945318,-1.079,,3.09,-4.031,-1.079,,489381.599,6203460,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.111086,51.983318,-1.254,,3.059,-3.993,-1.254,,489381.637,6203459.969,,,,
-0.076086,51.936318,-1.363,,3.094,-4.04,-1.363,,489381.59,6203460.004,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.101086,51.944318,-1.17,,3.069,-4.032,-1.17,,489381.598,6203459.979,,,,
-0.103086,51.945318,-1.263,,3.067,-4.031,-1.263,,489381.599,6203459.977,,,,
-0.110086,51.954318,-1.354,,3.06,-4.022,-1.354,,489381.608,6203459.97,,,,
-0.109086,51.952318,-1.45,,3.061,-4.024,-1.45,,489381.606,6203459.971,,,,
-0.101086,51.946318,-0.985,,3.069,-4.03,-0.985,,489381.6,6203459.979,,,,
-0.107086,51.954318,-1.074,,3.063,-4.022,-1.074,,489381.608,6203459.973,,,,
-0.101086,51.944318,-1.17,,3.069,-4.032,-1.17,,489381.598,6203459.979,,,,
-0.103086,51.945318,-1.263,,3.067,-4.031,-1.263,,489381.599,6203459.977,,,,
-0.110086,51.954318,-1.354,,3.06,-4.022,-1.354,,489381.608,6203459.97,,,,
-0.109086,51.952318,-1.45,,3.061,-4.024,-1.45,,489381.606,6203459.971,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.118086,51.939318,-1.356,,3.052,-4.037,-1.356,,489381.593,6203459.962,,,,
-0.142086,51.970318,-1.44,,3.028,-4.006,-1.44,,489381.624,6203459.938,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.118086,51.939318,-1.356,,3.052,-4.037,-1.356,,489381.593,6203459.962,,,,
-0.142086,51.970318,-1.44,,3.028,-4.006,-1.44,,489381.624,6203459.938,,,,
-0.051086,51.827318,-1.009,,3.119,-4.149,-1.009,,489381.481,6203460.029,,,,
-0.062086,51.841318,-1.099,,3.108,-4.135,-1.099,,489381.495,6203460.018,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.051086,51.827318,-1.009,,3.119,-4.149,-1.009,,489381.481,6203460.029,,,,
-0.062086,51.841318,-1.099,,3.108,-4.135,-1.099,,489381.495,6203460.018,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.069086,51.822318,-1.197,,3.101,-4.154,-1.197,,489381.476,6203460.011,,,,
-0.071086,51.823318,-1.292,,3.099,-4.153,-1.292,,489381.477,6203460.009,,,,
-0.088086,51.845318,-1.381,,3.082,-4.131,-1.381,,489381.499,6203459.992,,,,
-0.087086,51.843318,-1.479,,3.083,-4.133,-1.479,,489381.497,6203459.993,,,,
-0.074086,51.829318,-1.006,,3.096,-4.147,-1.006,,489381.483,6203460.006,,,,
-0.073086,51.828318,-1.1,,3.097,-4.148,-1.1,,489381.482,6203460.007,,,,
-0.069086,51.822318,-1.197,,3.101,-4.154,-1.197,,489381.476,6203460.011,,,,
-0.071086,51.823318,-1.292,,3.099,-4.153,-1.292,,489381.477,6203460.009,,,,
-0.088086,51.845318,-1.381,,3.082,-4.131,-1.381,,489381.499,6203459.992,,,,
-0.087086,51.843318,-1.479,,3.083,-4.133,-1.479,,489381.497,6203459.993,,,,
